,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,F,M,College,Doctorate,Graduate,High School,Post-Graduate,Uneducated,Divorced,Married,Single,Blue,Gold,Silver
0,0.702970297029703,0.6966966966966966,0.7027027027027026,0.1091091091091091,0.6691691691691692,0.9046618896123848,0.9753939255537794,0.031938899496615186,0.24024024024024024,0.993993993993994,0.2677677677677678,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0.3069306930693069,0.8378378378378378,1.0,0.1091091091091091,0.34184184184184185,0.7935466914383821,0.9885241437947556,0.06106106106106106,0.1086086086086086,1.0,0.32182182182182184,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,1.0,0.4984984984984985,0.4974974974974975,0.1091091091091091,0.0,0.5060100463733158,0.9992845120470173,0.2198950169681877,0.013513513513513514,0.9980512653302764,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4,0.702970297029703,0.042042042042042045,0.7027027027027026,0.1091091091091091,0.0,0.6216031057319023,0.9986172312322082,0.008877047547034361,0.05655655655655656,0.9984060116017232,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
5,0.504950495049505,0.4984984984984985,0.27877877877877877,0.1091091091091091,0.34184184184184185,0.5637186023232534,0.9790222412101341,0.025277962558205826,0.027027027027027025,0.7842842842842843,0.5468034999284999,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,1.0,0.4984984984984985,1.0,0.7352352352352352,0.6691691691691692,0.8849060834498421,0.9880063720407276,0.09939894917406161,0.0960960960960961,0.8338338338338338,0.37287287287287285,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,1.0,0.4984984984984985,0.27877877877877877,1.0,0.0,0.8878513353221524,1.0,0.12579245912579246,0.0065065065065065065,0.9995031646484515,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
14,0.3069306930693069,0.9204204204204204,0.7027027027027026,0.3788788788788789,0.34184184184184185,0.2896135435045941,0.9576710468430213,0.1342120582120582,0.06506506506506507,0.32432432432432434,0.5195195195195195,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,0.504950495049505,1.0,0.11411411411411411,0.3788788788788789,0.6691691691691692,0.47085710680840787,0.9967629697427225,0.07107107107107107,0.07457457457457457,0.9637473243157078,0.9309309309309309,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
21,0.3069306930693069,0.9359359359359358,0.11411411411411411,0.7352352352352352,0.6691691691691692,0.0,0.9229229229229229,0.0028528415794727086,0.005005005005005005,0.3003003003003003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
22,0.504950495049505,0.2982982982982983,0.4974974974974975,0.3788788788788789,0.11211211211211211,0.6017334233785592,0.9918334593118316,0.01584891415096956,0.009009009009009009,0.992992992992993,0.3833833833833834,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
25,0.3069306930693069,0.16016016016016016,1.0,0.1091091091091091,0.34184184184184185,0.7757597376745055,0.6436436436436437,0.022956867955544854,0.019519519519519517,0.7672672672672672,0.45645645645645644,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
29,0.504950495049505,0.7857857857857857,1.0,0.0,0.0,0.627529371442807,0.5225225225225225,0.02255993755067584,0.1816816816816817,0.8513513513513513,0.5255255255255256,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31,0.702970297029703,0.9204204204204204,0.11411411411411411,0.97997997997998,0.11211211211211211,0.29349930895048326,0.9743555673664629,0.14180847514180847,0.04054054054054054,0.9935305676046418,0.8568568568568569,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
32,0.702970297029703,0.4984984984984985,0.4974974974974975,0.1091091091091091,0.34184184184184185,0.8159172082681042,0.9951841506561191,0.1394728061394728,0.027027027027027025,0.9944986500468627,0.521861583989806,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,0.3069306930693069,0.6656656656656657,0.7027027027027026,0.3788788788788789,0.6691691691691692,0.34734734734734735,0.9956617911122657,0.09153181387645909,0.05655655655655656,0.9224224224224224,0.7402088772845952,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34,1.0,0.9359359359359358,1.0,0.3788788788788789,0.34184184184184185,0.9020357236105767,0.0960960960960961,0.06106106106106106,0.027027027027027025,0.545045045045045,0.36036036036036034,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35,0.3069306930693069,0.4984984984984985,0.4974974974974975,0.3788788788788789,0.11211211211211211,0.5204468586655735,0.08808808808808809,0.09008498583569399,0.2552552552552553,0.13963963963963966,0.7242242242242243,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
36,0.3069306930693069,0.4984984984984985,1.0,0.3788788788788789,0.6691691691691692,0.4406124831656747,0.9951443472847735,0.21765049278047544,0.16566566566566565,0.96996996996997,0.9089089089089089,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
37,0.3069306930693069,0.4984984984984985,0.11411411411411411,0.7352352352352352,0.6691691691691692,0.9466631778403913,0.7592592592592593,0.01819121797867813,0.019519519519519517,0.9729729729729729,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42,0.504950495049505,0.8123123123123124,0.27877877877877877,0.3788788788788789,0.6691691691691692,0.9689841510560411,0.982770889959243,0.1836836836836837,0.1086086086086086,0.9729729729729729,0.37487487487487486,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43,0.702970297029703,0.6336336336336337,0.7027027027027026,0.3788788788788789,0.11211211211211211,0.5550591208592833,0.960960960960961,0.1836836836836837,0.0960960960960961,0.9224224224224224,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
46,0.702970297029703,0.8613613613613613,1.0,0.3788788788788789,0.0,0.25425425425425424,0.9990368088702686,0.18016997167138799,0.04804804804804805,0.2757757757757758,0.8018018018018018,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,0.504950495049505,0.9654654654654654,0.27877877877877877,0.3788788788788789,0.34184184184184185,0.3187409551374819,0.999073340633746,0.17343420162527448,0.04804804804804805,0.9948951655169737,0.9354354354354355,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48,1.0,0.7287287287287287,0.4974974974974975,0.7352352352352352,0.6691691691691692,0.9924853616428491,0.6241241241241242,0.043043043043043044,0.04804804804804805,0.7117117117117117,0.2802802802802803,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
49,1.0,0.7287287287287287,0.7027027027027026,0.1091091091091091,0.11211211211211211,0.6240506778968317,0.2542542542542543,0.031244575594514854,0.21121121121121122,0.3003003003003003,0.4994994994994995,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
51,0.3069306930693069,0.7287287287287287,0.11411411411411411,0.7352352352352352,0.11211211211211211,0.0,0.8898898898898899,0.0037857540170213593,0.011511511511511512,0.8513513513513513,0.7402088772845952,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,0.3069306930693069,0.9814814814814815,0.27877877877877877,0.9494494494494494,0.34184184184184185,0.4662519078464185,0.962086035844901,0.2350975160533452,0.1816816816816817,0.9965414942876432,0.8548548548548548,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
