,Sold Price
35947,210000.0
42131,1050000.0
24516,2568000.0
32637,3650000.0
39520,1135000.0
28553,1400000.0
38840,1450000.0
11663,1655000.0
9040,1580000.0
44065,490000.0
37108,935000.0
38156,1000000.0
28400,4300000.0
1007,1205000.0
14054,2250000.0
46336,3650000.0
26536,238000.0
10131,442000.0
36886,438000.0
23026,1520000.0
18171,2125000.0
8649,425000.0
3426,965000.0
22431,5200000.0
13960,1660000.0
22490,795000.0
44715,430000.0
32734,540000.0
22998,3550000.0
31532,3200000.0
7889,715000.0
8607,711000.0
44483,2060000.0
45494,166000.0
26142,431500.0
42999,930000.0
38788,1690000.0
19727,1067000.0
33361,810000.0
2256,1330000.0
32029,530000.0
19748,995000.0
38849,1100000.0
23294,973000.0
20896,1675000.0
23439,2820000.0
20697,3725000.0
27457,1341000.0
6552,1320000.0
34855,2550000.0
41932,675000.0
1900,1150000.0
37318,1300000.0
2696,222000.0
1152,807000.0
46971,950000.0
34111,839000.0
43261,1500000.0
5039,510000.0
19936,1700000.0
11535,530000.0
32444,326000.0
13531,426500.0
39325,1430000.0
29365,1150000.0
42184,855000.0
47091,1025000.0
5373,1225000.0
27766,405000.0
28628,1175000.0
39506,1080000.0
24482,385000.0
33439,1550000.0
40597,1030000.0
9549,500000.0
35594,445000.0
6520,1020000.0
33384,1290000.0
32507,1510000.0
357,165000.0
8214,830000.0
24752,1550000.0
29228,565000.0
16531,848000.0
3237,1260000.0
3897,850000.0
32025,1255000.0
9887,884400.0
13335,3950000.0
34282,820000.0
8357,1251000.0
40463,670000.0
31444,344000.0
6047,849000.0
22064,2200000.0
5618,525000.0
46770,1012000.0
46548,485000.0
33762,475000.0
9415,1450000.0
21718,140000.0
4915,350000.0
22067,800000.0
13938,1300000.0
31321,335000.0
12946,214000.0
25785,310000.0
1213,2337500.0
21149,695000.0
21141,850000.0
46147,810000.0
8472,1350000.0
17758,424500.0
2055,1260000.0
5878,1328000.0
43894,720000.0
31957,850000.0
39608,530000.0
36006,596000.0
16196,510000.0
14643,850000.0
18233,670000.0
39987,130000.0
18697,754000.0
29200,900000.0
21952,550000.0
14061,895000.0
17986,2180000.0
35743,468000.0
44563,350000.0
38049,200000.0
28038,1131000.0
8114,1450000.0
33538,1325000.0
14013,200000.0
36264,2770000.0
24238,2950000.0
13570,960000.0
2753,680000.0
30154,775000.0
22172,805000.0
22969,3700000.0
25310,870000.0
